epoch,train_loss,val_auroc,val_accuracy,val_f1_weighted,model,fewshot_frac,seed,organ
2,1.0694035291671753,0.453349704927778,0.5,0.423678193890206,BERT Full (LLM),0.01,42,breast
3,0.8253780007362366,0.45446463835168155,0.5084745762711864,0.4499816005368314,BERT Full (LLM),0.01,42,breast
4,0.7355362176895142,0.4575171805861175,0.4661016949152542,0.4292649324753014,BERT Full (LLM),0.01,42,breast
1,1.2078128457069397,0.4594489051922606,0.4491525423728814,0.39960119641076774,BERT Full (LLM),0.05,42,breast
2,1.3304119110107422,0.4574336089805359,0.5169491525423728,0.45090238543628375,BERT Full (LLM),0.05,42,breast
3,1.1036779582500458,0.4804960289802483,0.5084745762711864,0.4505482642155426,BERT Full (LLM),0.05,42,breast
4,0.84252068400383,0.49948966569606107,0.4661016949152542,0.4388205247271883,BERT Full (LLM),0.05,42,breast
1,1.1878643035888672,0.4999527293028125,0.5254237288135594,0.4632768361581921,BERT Full (LLM),0.1,42,breast
2,0.9678243845701218,0.5195701919435308,0.5169491525423728,0.4744804831971903,BERT Full (LLM),0.1,42,breast
3,0.8124880194664001,0.5275753385595578,0.5169491525423728,0.47502718760775575,BERT Full (LLM),0.1,42,breast
4,0.7247842848300934,0.5395237076507841,0.4915254237288136,0.45618023976849936,BERT Full (LLM),0.1,42,breast
1,1.0781809091567993,0.5968460330275114,0.559322033898305,0.401252763448784,OpenAI CLIP,0.01,42,breast
2,0.90314781665802,0.6634192588511526,0.576271186440678,0.45930098527598756,OpenAI CLIP,0.01,42,breast
3,0.3185136616230011,0.6675014146982585,0.5338983050847458,0.5245900298227738,OpenAI CLIP,0.01,42,breast
4,0.15390005707740784,0.6372122087030725,0.576271186440678,0.49521748008985095,OpenAI CLIP,0.01,42,breast
1,1.256736695766449,0.6876891484761085,0.6016949152542372,0.5314164648910411,OpenAI CLIP,0.05,42,breast
2,0.7427477836608887,0.755229606818062,0.4745762711864407,0.4549125684632577,OpenAI CLIP,0.05,42,breast
3,0.4710584580898285,0.7206708493149522,0.635593220338983,0.5591998293278541,OpenAI CLIP,0.05,42,breast
4,0.22226683795452118,0.7311563586376709,0.559322033898305,0.5566625338097438,OpenAI CLIP,0.05,42,breast
1,1.1301366090774536,0.7598324905530055,0.576271186440678,0.5203604396074291,OpenAI CLIP,0.1,42,breast
2,0.5911225974559784,0.7648581565628909,0.5932203389830508,0.49542178063510617,OpenAI CLIP,0.1,42,breast
3,0.3343565836548805,0.7713680272754194,0.6016949152542372,0.5905295125634109,OpenAI CLIP,0.1,42,breast
4,0.1837917184457183,0.7959332668531173,0.6779661016949152,0.6509245679553668,OpenAI CLIP,0.1,42,breast
1,1.615896224975586,0.7340197616152766,0.3813559322033898,0.3231850462407595,BiomedCLIP,0.01,42,breast
2,1.1628835201263428,0.7393979071408475,0.5084745762711864,0.5038164970121676,BiomedCLIP,0.01,42,breast
3,0.4970104396343231,0.7477298679541203,0.6016949152542372,0.6040686157586962,BiomedCLIP,0.01,42,breast
4,0.44788241386413574,0.7533401307072403,0.6271186440677966,0.626997250602046,BiomedCLIP,0.01,42,breast
1,1.136920154094696,0.7801046452624526,0.6694915254237288,0.671432730098445,BiomedCLIP,0.05,42,breast
2,0.9085710644721985,0.8059922163016017,0.6016949152542372,0.567559520527552,BiomedCLIP,0.05,42,breast
3,0.6269414722919464,0.8284428611255854,0.652542372881356,0.640139925052429,BiomedCLIP,0.05,42,breast
4,0.513495922088623,0.8489285907890559,0.652542372881356,0.62082466052136,BiomedCLIP,0.05,42,breast
1,1.3138481378555298,0.8118506228452241,0.6271186440677966,0.5402305373767338,BiomedCLIP,0.1,42,breast
2,0.6977576389908791,0.8635012989041227,0.652542372881356,0.6054991443608017,BiomedCLIP,0.1,42,breast
3,0.4553211107850075,0.8687336910966478,0.6779661016949152,0.6121635094715853,BiomedCLIP,0.1,42,breast
4,0.4477928727865219,0.8865687733731753,0.7372881355932204,0.7292426992940557,BiomedCLIP,0.1,42,breast
1,0.7664846181869507,0.5239798845488215,0.1694915254237288,0.04912797838368951,CLIP MLP Only (std),0.01,42,breast
2,2.4376068115234375,0.6148531090080093,0.576271186440678,0.5040803515379787,CLIP MLP Only (std),0.01,42,breast
3,0.8260213732719421,0.5622010914058256,0.559322033898305,0.401252763448784,CLIP MLP Only (std),0.01,42,breast
