average_type,n_organs,auroc,accuracy,f1_weighted,model,setting,fewshot_frac,seed
macro,1,0.6465111143054583,0.5897435897435898,0.5778249532213479,BERT MLP Only (LLM),fewshot_adaptation,0.05,46
weighted_by_test_n,1,0.6465111143054583,0.5897435897435898,0.5778249532213479,BERT MLP Only (LLM),fewshot_adaptation,0.05,46
macro,1,0.7561494199100615,0.6153846153846154,0.6262108262108262,BERT MLP Only (LLM),fewshot_adaptation,0.1,42
weighted_by_test_n,1,0.7561494199100615,0.6153846153846154,0.6262108262108262,BERT MLP Only (LLM),fewshot_adaptation,0.1,42
macro,1,0.7921534650558401,0.6410256410256411,0.644075441039388,BERT MLP Only (LLM),fewshot_adaptation,0.1,43
weighted_by_test_n,1,0.7921534650558401,0.6410256410256411,0.644075441039388,BERT MLP Only (LLM),fewshot_adaptation,0.1,43
macro,1,0.7968738258095467,0.6495726495726496,0.6496747756910358,BERT MLP Only (LLM),fewshot_adaptation,0.1,44
weighted_by_test_n,1,0.7968738258095467,0.6495726495726496,0.6496747756910358,BERT MLP Only (LLM),fewshot_adaptation,0.1,44
macro,1,0.7048264350912937,0.5299145299145299,0.5314955864154949,BERT MLP Only (LLM),fewshot_adaptation,0.1,45
weighted_by_test_n,1,0.7048264350912937,0.5299145299145299,0.5314955864154949,BERT MLP Only (LLM),fewshot_adaptation,0.1,45
macro,1,0.6813503019401751,0.5555555555555556,0.5678701929899248,BERT MLP Only (LLM),fewshot_adaptation,0.1,46
weighted_by_test_n,1,0.6813503019401751,0.5555555555555556,0.5678701929899248,BERT MLP Only (LLM),fewshot_adaptation,0.1,46
macro,1,0.6698393610843677,0.5213675213675214,0.5196257450926136,BERT MLP Only (std),fewshot_adaptation,0.01,42
weighted_by_test_n,1,0.6698393610843676,0.5213675213675214,0.5196257450926136,BERT MLP Only (std),fewshot_adaptation,0.01,42
macro,1,0.7546023308970868,0.6239316239316239,0.6328927643070321,BERT MLP Only (std),fewshot_adaptation,0.01,43
weighted_by_test_n,1,0.7546023308970868,0.6239316239316239,0.6328927643070321,BERT MLP Only (std),fewshot_adaptation,0.01,43
macro,1,0.6922416701044499,0.5726495726495726,0.5651784608306347,BERT MLP Only (std),fewshot_adaptation,0.01,44
weighted_by_test_n,1,0.6922416701044499,0.5726495726495726,0.5651784608306347,BERT MLP Only (std),fewshot_adaptation,0.01,44
macro,1,0.6011445092867511,0.4700854700854701,0.4661548119175238,BERT MLP Only (std),fewshot_adaptation,0.01,45
