organ,n_train,n_val,n_test,n_classes,best_c,val_f1_weighted,accuracy,f1_weighted,auroc,n_eval,model,setting,fewshot_frac,seed
breast,8,118,117,3,1.0,0.48875372818280943,0.5128205128205128,0.5284493284493285,0.6035406639422257,117,BERT Full (std),fewshot_adaptation,0.01,46
breast,29,118,117,3,0.01,0.45419693301049224,0.5811965811965812,0.5904987828064752,0.7035908693714217,117,BERT Full (std),fewshot_adaptation,0.05,42
breast,29,118,117,3,10.0,0.40031134350210046,0.49572649572649574,0.5030934157370939,0.6752782724198486,117,BERT Full (std),fewshot_adaptation,0.05,43
breast,29,118,117,3,10.0,0.49908205750254075,0.48717948717948717,0.5013947209069161,0.572615758778256,117,BERT Full (std),fewshot_adaptation,0.05,44
breast,29,118,117,3,1.0,0.504641983054115,0.46153846153846156,0.46024205481569824,0.608834333654623,117,BERT Full (std),fewshot_adaptation,0.05,45
breast,29,118,117,3,10.0,0.5770781036149112,0.5555555555555556,0.5616325707936123,0.6706334058813476,117,BERT Full (std),fewshot_adaptation,0.05,46
breast,56,118,117,3,1.0,0.4598741298691233,0.5042735042735043,0.506989306989307,0.6212059914630114,117,BERT Full (std),fewshot_adaptation,0.1,42
breast,56,118,117,3,10.0,0.4132231978428098,0.4188034188034188,0.43011201465307747,0.6114221715807755,117,BERT Full (std),fewshot_adaptation,0.1,43
breast,56,118,117,3,0.1,0.5352173868652637,0.47863247863247865,0.5075660785805713,0.6208823088492597,117,BERT Full (std),fewshot_adaptation,0.1,44
breast,56,118,117,3,10.0,0.48920573762465996,0.5641025641025641,0.5708191331070133,0.6538788666361266,117,BERT Full (std),fewshot_adaptation,0.1,45
breast,56,118,117,3,1.0,0.433194674498081,0.47863247863247865,0.4821349122718986,0.6967128344036624,117,BERT Full (std),fewshot_adaptation,0.1,46
breast,8,118,117,3,10.0,0.4952678607204392,0.5897435897435898,0.5924530495959068,0.7015508939225238,117,CLIP MLP Only (LLM),fewshot_adaptation,0.01,42
breast,8,118,117,3,0.01,0.5143785635058086,0.6068376068376068,0.6147883012627874,0.7215238844565445,117,CLIP MLP Only (LLM),fewshot_adaptation,0.01,43
breast,8,118,117,3,0.1,0.553071554567068,0.6068376068376068,0.6240473474516027,0.7324670623463181,117,CLIP MLP Only (LLM),fewshot_adaptation,0.01,44
breast,8,118,117,3,0.01,0.4542897995077849,0.48717948717948717,0.4877501990656728,0.6314124725385364,117,CLIP MLP Only (LLM),fewshot_adaptation,0.01,45
breast,8,118,117,3,1.0,0.5102649117777452,0.48717948717948717,0.5117967332123412,0.6396834310506558,117,CLIP MLP Only (LLM),fewshot_adaptation,0.01,46
breast,29,118,117,3,10.0,0.5107568487850178,0.5726495726495726,0.5732752973079142,0.7381923483455841,117,CLIP MLP Only (LLM),fewshot_adaptation,0.05,42
breast,29,118,117,3,1.0,0.5283556460075683,0.5811965811965812,0.5797067222958404,0.7054827882687819,117,CLIP MLP Only (LLM),fewshot_adaptation,0.05,43
breast,29,118,117,3,1.0,0.5706747416971583,0.6495726495726496,0.6553338260655334,0.7796091248587179,117,CLIP MLP Only (LLM),fewshot_adaptation,0.05,44
breast,29,118,117,3,0.1,0.5061349870265555,0.41025641025641024,0.4082646134385652,0.5777054799776293,117,CLIP MLP Only (LLM),fewshot_adaptation,0.05,45
breast,29,118,117,3,0.01,0.5434546015157303,0.6324786324786325,0.6372911199445703,0.7320947453603268,117,CLIP MLP Only (LLM),fewshot_adaptation,0.05,46
breast,56,118,117,3,10.0,0.516491718027735,0.6752136752136753,0.6757209309800684,0.7691719122453247,117,CLIP MLP Only (LLM),fewshot_adaptation,0.1,42
breast,56,118,117,3,10.0,0.489250862132218,0.5726495726495726,0.5816140790348601,0.6961123823016754,117,CLIP MLP Only (LLM),fewshot_adaptation,0.1,43
breast,56,118,117,3,0.1,0.6044540796216002,0.7094017094017094,0.7040671455387175,0.8131909140371384,117,CLIP MLP Only (LLM),fewshot_adaptation,0.1,44
breast,56,118,117,3,0.01,0.5577960433082025,0.5299145299145299,0.5332419720013292,0.7078607746343358,117,CLIP MLP Only (LLM),fewshot_adaptation,0.1,45
breast,56,118,117,3,10.0,0.5552353176537961,0.5897435897435898,0.5965248157858697,0.7048236497259456,117,CLIP MLP Only (LLM),fewshot_adaptation,0.1,46
breast,8,118,117,3,0.01,0.3597811834713149,0.48717948717948717,0.4738832710055732,0.5935838403065126,117,CLIP +Img Enc (LLM),fewshot_adaptation,0.01,42
breast,8,118,117,3,1.0,0.5255896020674855,0.5811965811965812,0.5850202005569236,0.7255073634351216,117,CLIP +Img Enc (LLM),fewshot_adaptation,0.01,43
breast,8,118,117,3,1.0,0.43017083867084077,0.5213675213675214,0.5410628807389941,0.6994126376140164,117,CLIP +Img Enc (LLM),fewshot_adaptation,0.01,44
breast,8,118,117,3,0.1,0.6004909650103637,0.5726495726495726,0.5585504870793733,0.6545018520282349,117,CLIP +Img Enc (LLM),fewshot_adaptation,0.01,45
